input   | Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
model   | [-2.491532802581787, 2.760490894317627], positive
library | 0.0


input   | need suggestions for a good IR filter for my canon 40D ... got some? pls DM
model   | [-3.0322418212890625, 3.108492136001587], positive
library | 0.7


input   | @surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
model   | [-3.011634349822998, 2.8338561058044434], positive
library | 0.35


input   | is in San Francisco at Bay to Breakers.
model   | [-1.0076512098312378, 1.2155489921569824], positive
library | 0.0


input   | just landed at San Francisco
model   | [-3.5370545387268066, 3.818450927734375], positive
library | 0.0


input   | San Francisco today.  Any suggestions?
model   | [-3.4656527042388916, 3.775310516357422], positive
library | 0.0


input   | On my way to see Star Trek @ The Esquire.
model   | [-3.565819263458252, 3.8659160137176514], positive
library | 0.0


input   | Going to see star trek soon with my dad.
model   | [-3.555978298187256, 3.782764434814453], positive
library | 0.0


input   | Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
model   | [-3.2071948051452637, 3.0605876445770264], positive
library | 0.0


input   | playing with cURL and the Twitter API
model   | [-3.503209114074707, 3.8150479793548584], positive
library | 0.0


input   | playing with Java and the Twitter API
model   | [-2.7283101081848145, 2.8261640071868896], positive
library | 0.0


input   | Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding
model   | [0.07046420872211456, 0.46177393198013306], positive
library | 0.0


input   | 'Next time, I'll call myself Nike'
model   | [-2.8806118965148926, 2.4811902046203613], positive
library | 0.0


input   | New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
model   | [2.8423104286193848, -2.476755142211914], negative
library | 0.04545454545454545


input   | giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.
model   | [-3.7118372917175293, 3.7735748291015625], positive
library | 0.0


input   | Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t
model   | [-2.6046142578125, 2.677532196044922], positive
library | 0.13636363636363635


input   | NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9
model   | [0.16970770061016083, 0.36320194602012634], positive
library | 0.0


input   | New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
model   | [-3.361140251159668, 3.553831100463867], positive
library | 0.21818181818181817


input   | jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
model   | [-3.367875576019287, 3.747192859649658], positive
library | 0.0


input   | At GWT fireside chat @googleio
model   | [-3.5268845558166504, 3.862344264984131], positive
library | 0.0


input   | Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8
model   | [-3.5559754371643066, 3.854917526245117], positive
library | 0.8


input   | Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz
model   | [-3.5227980613708496, 3.848647356033325], positive
library | 0.0


input   | going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
model   | [-3.574005126953125, 3.8487093448638916], positive
library | 0.11818181818181818


input   | Just saw the new Night at the Museum movie...it was...okay...lol 7\10
model   | [-3.3566336631774902, 3.6473562717437744], positive
library | 0.13636363636363635


input   | Going to see night at the museum 2 with tall boy
model   | [-3.6127264499664307, 3.8529856204986572], positive
library | 0.0


input   | I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
model   | [-3.6063332557678223, 3.8148484230041504], positive
library | 0.16666666666666669


input   | Taking Katie to see Night at the Museum.  (she picked it)
model   | [-3.5431642532348633, 3.8392300605773926], positive
library | 0.0


input   | GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
model   | [2.4379026889801025, -1.940078616142273], negative
library | 0.0


input   | Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
model   | [3.8120899200439453, -3.642129898071289], negative
library | 0.0


input   | Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3
model   | [-1.2871274948120117, 1.5885111093521118], positive
library | 0.0


input   | Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n
model   | [0.5899203419685364, 0.0609014518558979], negative
library | 0.0


input   | myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
model   | [2.1166672706604004, -1.9198408126831055], negative
library | 0.08


input   | Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv
model   | [-3.3070554733276367, 3.6075615882873535], positive
library | 0.13636363636363635


input   | http://xi.gs/04FO GM CEO: China will continue to be key partner
model   | [-3.5445332527160645, 3.850377082824707], positive
library | 0.0


input   | RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
model   | [-3.435281276702881, 3.7360517978668213], positive
library | 0.0


input   | Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
model   | [3.3735642433166504, -3.019202709197998], negative
library | 0.6


input   | @kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
model   | [-2.8807833194732666, 2.9304521083831787], positive
library | 0.0


input   | NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
model   | [-3.145707607269287, 3.282883405685425], positive
library | 0.3333333333333333


input   | just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
